account_age_months,avg_orders_per_month,avg_order_value,returns_rate,support_tickets_6m,reviews_submitted,website_visits_per_month,cart_abandonment_rate,loyalty_member,payment_failures_12m,device_type,discount_usage_rate,days_since_last_active,satisfaction_score,churn
30.0,4.79,121.72,0.138,6,4,4,0.497,1,0,2,0.0,1,7,0
10.0,0.88,52.31,0.0,3,4,4,0.311,0,1,2,0.0,20,6,0
32.0,3.78,67.72,0.099,3,5,5,0.569,0,0,3,0.395,24,6,0
12.0,1.32,53.59,0.197,0,0,11,0.426,0,0,3,0.503,3,7,1
33.0,1.98,106.33,0.146,4,9,12,0.227,1,4,1,0.519,1,5,1
38.0,0.0,86.65,0.0,2,3,16,0.77,0,1,2,0.371,1,9,0
14.0,7.18,112.42,0.099,0,5,15,0.479,1,0,1,0.198,1,10,0
36.0,4.1,113.95,0.041,4,3,15,0.572,1,3,1,0.215,18,7,0
29.0,1.47,14.55,0.101,0,6,13,0.158,1,0,3,0.1,1,8,0
34.0,0.75,122.28,0.07,4,1,13,0.515,0,2,2,0.604,19,6,0
47.0,2.01,108.28,0.239,6,0,6,0.74,1,1,2,0.134,70,1,1
21.0,4.43,62.08,0.107,2,3,5,0.192,0,2,3,0.0,38,7,0
15.0,0.0,87.24,0.125,1,4,1,0.572,0,0,2,0.2,31,6,1
13.0,2.72,70.67,0.096,0,2,16,0.458,0,1,2,0.438,86,8,0
14.0,6.54,96.56,0.138,3,1,8,0.747,1,2,2,0.334,7,8,0
23.0,0.73,62.0,0.083,1,4,10,0.504,0,1,3,0.095,54,4,1
28.0,3.16,91.76,0.162,9,0,1,0.693,0,1,2,0.184,41,4,1
27.0,7.41,77.36,0.069,0,6,4,0.725,0,3,2,0.0,89,7,0
34.0,4.26,59.87,0.21,2,2,14,0.533,1,0,3,0.466,32,2,1
24.0,3.25,81.65,0.14,3,4,10,0.698,0,1,1,0.0,81,3,1
41.0,4.01,169.73,0.088,2,0,4,0.549,0,3,3,0.795,1,7,0
21.0,2.2,51.01,0.167,0,7,7,0.669,1,1,2,0.277,28,4,0
57.0,5.6,66.25,0.139,6,4,20,0.41,1,0,3,0.0,3,7,0
32.0,2.2,51.62,0.166,4,5,7,0.411,0,1,1,0.0,78,4,1
14.0,0.0,55.29,0.107,4,0,9,0.367,1,3,1,0.003,25,3,1
11.0,2.22,103.55,0.081,0,1,8,0.653,1,0,1,0.135,1,7,0
30.0,1.07,100.06,0.111,1,4,9,0.841,1,0,1,0.069,26,8,0
21.0,2.44,74.79,0.06,3,0,15,0.792,0,1,2,0.0,1,7,0
33.0,2.48,110.92,0.178,0,1,23,0.552,0,2,3,0.417,1,6,0
30.0,5.39,102.77,0.218,4,5,17,0.568,0,1,1,0.144,56,7,0
23.0,4.39,69.32,0.146,2,1,9,0.764,0,3,1,0.011,61,6,0
14.0,3.53,21.31,0.213,5,4,15,0.864,0,1,3,1.0,15,7,1
6.0,2.99,104.04,0.19,1,1,1,0.169,0,1,2,0.002,23,4,1
19.0,0.88,80.94,0.079,7,5,8,0.499,1,1,3,0.253,43,3,1
34.0,0.0,75.78,0.167,3,0,4,0.631,1,0,2,0.066,84,7,1
27.0,3.23,58.69,0.0,4,5,5,0.592,0,2,2,1.0,1,7,0
9.0,4.59,101.06,0.115,0,9,14,0.586,1,1,3,0.616,20,6,0
26.0,2.78,87.2,0.005,3,1,16,0.981,0,1,2,0.509,64,6,0
29.0,1.93,66.71,0.091,0,1,1,0.432,0,2,1,0.051,1,5,0
13.0,3.93,32.11,0.0,0,6,7,0.477,0,1,2,0.658,40,8,0
26.0,2.83,112.38,0.188,1,3,4,0.408,0,1,1,0.0,36,6,0
25.0,6.37,96.17,0.068,5,0,12,0.283,1,2,2,0.863,44,3,0
10.0,5.47,83.94,0.173,2,4,15,0.467,0,0,2,0.176,35,7,0
28.0,4.92,10.0,0.094,1,4,22,0.409,0,0,3,0.23,10,4,0
31.0,4.52,73.67,0.0,1,1,15,0.541,1,2,1,0.18,63,8,0
37.0,0.42,66.56,0.061,9,1,15,0.774,0,0,3,0.511,1,9,1
37.0,4.33,53.35,0.058,4,6,2,0.464,1,1,2,0.081,61,9,0
7.0,3.75,101.4,0.099,0,0,4,0.767,0,1,3,0.13,1,10,0
13.0,4.21,100.02,0.221,0,0,8,0.786,0,2,2,0.246,22,7,0
30.0,3.99,90.29,0.234,1,1,23,0.581,1,0,2,0.586,84,9,1
30.0,3.91,111.33,0.082,0,6,8,0.699,0,2,3,0.817,92,9,0
30.0,8.4,39.22,0.0,2,2,17,0.767,0,0,1,0.241,74,9,0
70.0,2.85,59.12,0.04,0,1,5,0.528,1,0,1,0.069,55,7,0
31.0,4.87,77.62,0.138,0,3,8,0.558,0,0,1,0.485,36,5,0
38.0,2.06,53.23,0.091,2,4,8,0.673,0,0,3,0.73,1,6,0
35.0,4.58,100.45,0.0,0,8,5,0.692,1,0,2,0.0,86,6,0
32.0,4.88,56.72,0.06,0,4,12,0.589,0,1,3,0.433,45,6,0
20.0,3.73,120.44,0.205,6,9,1,0.751,0,1,2,0.838,177,4,1
33.0,6.34,42.41,0.123,5,5,1,0.564,1,2,1,0.306,48,3,1
15.0,1.23,149.62,0.104,3,2,6,0.71,0,0,2,0.43,103,6,0
21.0,2.03,146.03,0.069,3,6,11,0.677,1,0,2,0.383,73,8,0
18.0,3.42,71.68,0.063,1,5,3,0.474,0,0,1,0.259,37,9,0
25.0,4.76,115.12,0.144,11,6,22,0.874,0,1,2,0.99,73,8,1
52.0,3.36,60.99,0.111,3,5,8,0.788,0,1,2,0.428,30,7,0
2.0,5.57,110.47,0.162,10,3,8,0.39,0,0,2,0.497,23,5,1
32.0,1.68,68.84,0.144,8,2,2,0.734,1,2,2,0.0,55,7,1
5.0,0.72,30.01,0.102,3,3,12,0.536,0,1,2,0.252,71,4,1
18.0,3.62,10.0,0.131,1,0,14,0.754,0,1,3,0.507,2,3,1
37.0,2.85,65.6,0.053,2,3,9,0.817,1,2,1,0.186,39,4,0
25.0,4.09,84.77,0.096,1,0,10,0.71,0,2,3,0.599,1,4,0
11.0,2.95,121.56,0.207,3,4,9,0.836,0,1,3,0.165,29,3,1
15.0,2.32,76.28,0.101,4,6,3,0.714,0,0,3,0.337,10,8,1
32.0,2.85,110.1,0.083,0,4,17,0.517,0,4,3,0.69,25,7,0
15.0,3.06,59.11,0.117,10,3,6,0.179,0,0,2,0.289,1,8,1
27.0,2.39,63.2,0.007,0,2,18,0.369,0,3,3,0.584,1,7,0
25.0,2.59,111.89,0.118,0,7,1,0.48,0,0,2,0.472,81,7,0
16.0,2.19,10.0,0.236,2,6,13,0.697,1,0,1,0.104,88,4,1
50.0,4.71,75.45,0.035,0,0,9,0.345,0,1,3,0.053,18,10,0
32.0,3.39,61.0,0.121,2,4,9,0.323,1,2,1,0.69,1,9,0
1.0,7.51,122.62,0.098,2,4,4,0.511,0,2,3,0.483,3,9,0
26.0,3.32,56.51,0.096,3,2,12,0.534,0,2,1,0.134,40,7,0
16.0,1.9,93.08,0.095,5,0,11,0.615,1,3,3,0.236,100,8,1
34.0,8.34,107.25,0.157,0,0,19,0.849,0,3,3,0.058,1,4,0
14.0,3.83,22.76,0.012,1,4,12,0.494,0,2,2,0.0,1,9,0
23.0,4.98,70.12,0.155,4,0,6,0.565,1,0,2,0.405,1,6,0
30.0,4.18,59.89,0.106,0,1,5,0.77,1,1,2,0.268,51,7,0
34.0,4.25,108.12,0.0,0,5,10,0.412,1,0,3,0.069,14,9,0
10.0,4.07,98.63,0.13,4,4,17,0.826,0,2,2,0.0,1,8,0
20.0,0.8,66.84,0.109,0,1,10,0.397,0,0,1,0.416,19,8,0
18.0,3.74,38.34,0.03,0,6,14,0.509,1,0,3,0.552,20,7,0
16.0,0.35,111.34,0.113,2,5,10,0.451,0,0,1,0.222,45,7,1
45.0,2.65,72.63,0.0,2,2,1,0.908,0,1,1,0.469,25,9,0
29.0,1.55,18.36,0.045,5,8,11,0.618,0,1,1,0.366,1,6,1
9.0,3.71,21.37,0.103,0,4,7,0.558,0,0,2,0.368,1,6,0
35.0,3.67,90.32,0.0,9,1,15,0.358,1,1,2,0.391,1,7,0
49.0,3.96,30.35,0.008,0,0,18,0.829,1,2,2,0.411,42,4,0
36.0,3.57,140.09,0.02,1,4,19,0.759,0,2,3,0.39,1,10,0
6.0,1.79,42.2,0.106,0,1,7,0.461,1,1,2,0.409,1,5,0
18.0,2.48,74.99,0.135,2,3,5,0.602,0,1,2,0.373,123,5,1
39.0,4.84,80.57,0.029,2,2,6,0.675,0,1,2,0.672,42,8,0
16.0,5.14,49.47,0.024,2,0,7,0.663,1,0,2,0.177,35,3,0
29.0,0.71,10.0,0.111,3,2,9,0.5,0,1,1,0.052,1,6,1
33.0,0.0,81.68,0.109,6,0,2,0.9,1,0,2,0.195,44,7,1
13.0,1.55,48.64,0.044,2,1,8,0.553,0,1,2,0.026,38,8,0
23.0,5.09,79.08,0.246,6,1,1,0.559,0,3,3,0.136,72,3,1
1.0,5.43,70.72,0.115,0,3,21,0.793,1,0,1,0.0,53,5,0
12.0,1.15,84.22,0.086,0,4,7,0.744,0,0,2,0.345,75,4,0
21.0,3.61,129.67,0.069,2,4,5,0.78,0,1,2,0.317,52,6,0
9.0,6.67,55.88,0.181,3,0,11,0.976,1,0,1,0.439,1,6,0
44.0,3.83,58.59,0.144,0,7,13,0.465,1,0,1,0.123,28,5,0
7.0,5.84,16.7,0.0,2,0,1,0.628,1,3,1,0.73,15,8,0
19.0,5.0,68.17,0.044,5,3,4,0.438,1,1,3,0.46,75,6,0
26.0,1.18,89.35,0.064,4,1,17,0.493,0,0,1,0.0,63,8,1
41.0,2.62,58.08,0.099,1,4,13,0.44,0,2,1,0.0,56,7,0
7.0,3.07,89.58,0.15,3,0,1,0.583,0,0,1,0.173,66,3,1
38.0,3.21,68.79,0.014,4,8,15,0.761,0,2,1,0.0,27,9,0
24.0,4.83,29.42,0.094,0,2,13,0.528,0,0,2,0.339,70,7,0
12.0,3.82,85.92,0.236,0,5,3,0.629,0,2,1,0.341,55,6,1
30.0,0.0,67.8,0.102,5,1,8,0.421,0,3,2,0.11,25,5,1
26.0,0.37,79.3,0.044,0,8,1,0.451,1,1,1,0.142,1,4,0
17.0,0.0,55.16,0.0,0,0,13,0.325,0,2,1,0.141,13,6,0
25.0,3.35,52.06,0.061,0,0,17,0.529,0,1,2,0.348,58,7,0
19.0,3.48,80.51,0.014,5,7,6,0.568,0,2,3,0.324,1,10,0
25.0,3.57,66.93,0.068,0,0,8,0.589,1,3,2,0.134,112,9,0
32.0,1.08,135.35,0.143,4,3,11,0.447,0,0,2,0.219,4,5,0
43.0,4.35,102.96,0.103,1,8,7,0.662,1,0,2,0.0,1,4,0
9.0,4.43,94.08,0.062,7,2,1,0.557,0,0,2,0.127,15,4,1
50.0,0.49,68.79,0.0,2,4,14,0.43,0,2,3,0.449,80,9,0
1.0,0.07,10.0,0.167,5,5,15,0.62,0,0,3,0.238,1,7,1
22.0,3.0,46.73,0.072,3,3,12,0.613,1,2,3,0.0,96,8,0
31.0,6.58,52.34,0.109,1,7,16,0.571,0,3,3,0.262,77,9,0
27.0,6.4,65.38,0.027,2,5,7,0.818,0,3,3,0.468,111,6,0
17.0,4.13,73.83,0.067,2,0,11,0.675,1,0,2,0.592,57,8,0
22.0,1.54,97.96,0.054,1,5,4,1.0,1,1,2,0.0,43,5,0
18.0,4.77,84.56,0.0,5,3,3,0.511,1,1,2,0.413,1,8,0
17.0,2.1,115.57,0.027,10,3,1,0.614,1,2,2,0.458,37,5,1
34.0,1.46,64.08,0.099,2,4,10,0.368,1,0,3,0.297,1,7,0
28.0,0.0,84.0,0.124,4,6,9,0.5,0,3,2,0.419,72,4,1
16.0,3.2,87.03,0.045,4,0,15,0.221,0,1,3,0.0,24,10,0
35.0,1.74,83.6,0.004,0,7,1,0.696,0,4,1,0.355,1,10,0
28.0,3.19,119.87,0.071,3,7,10,0.788,1,1,3,0.14,48,8,0
34.0,0.0,103.13,0.162,3,1,18,0.544,0,2,2,0.048,12,5,1
32.0,3.34,28.82,0.025,0,8,9,0.268,0,1,3,0.696,79,6,0
14.0,0.0,71.0,0.101,0,2,13,1.0,0,0,2,0.527,15,4,0
17.0,5.18,74.51,0.047,3,5,22,0.512,1,0,2,0.0,1,10,0
33.0,4.04,150.3,0.19,7,2,16,0.504,1,1,2,0.992,4,4,1
31.0,2.44,63.46,0.059,1,5,1,0.753,0,0,2,0.43,26,7,0
24.0,4.13,40.61,0.153,1,2,6,0.404,0,0,2,0.0,86,6,0
25.0,1.04,90.34,0.181,9,3,10,0.455,1,2,2,0.251,35,5,1
39.0,3.14,92.39,0.223,5,0,8,0.736,0,0,1,0.569,21,1,1
17.0,4.59,72.42,0.0,0,2,16,0.859,1,0,2,0.548,30,9,0
31.0,0.0,67.29,0.0,0,1,8,0.548,0,0,3,0.08,91,8,0
22.0,2.11,108.21,0.193,9,0,8,0.314,1,0,2,0.273,62,10,1
21.0,2.95,45.12,0.18,0,5,15,0.787,1,0,2,0.631,73,6,0
37.0,2.61,63.07,0.051,0,2,1,0.13,1,0,3,0.472,57,4,0
34.0,5.91,56.72,0.0,4,0,11,0.698,1,2,2,0.456,28,10,0
34.0,0.75,113.29,0.106,1,5,4,0.332,1,3,2,0.327,44,8,0
40.0,1.76,84.99,0.0,3,6,13,0.527,0,0,3,0.0,25,9,0
24.0,0.0,37.73,0.034,3,3,6,0.661,0,0,1,0.378,27,6,0
32.0,6.02,41.24,0.114,2,0,11,0.405,1,2,1,0.057,1,8,0
20.0,2.51,140.57,0.125,6,0,5,0.509,0,3,2,0.368,1,7,1
28.0,2.12,112.91,0.227,0,0,1,0.512,0,0,2,0.0,1,6,1
22.0,2.9,104.45,0.07,2,1,10,0.576,0,0,1,0.072,15,9,0
25.0,4.27,75.43,0.022,0,8,1,0.633,0,2,1,0.621,39,10,0
31.0,3.69,127.8,0.173,7,2,17,0.6,1,2,1,0.236,14,6,0
14.0,8.3,36.38,0.13,1,0,11,0.605,1,0,1,0.241,105,9,0
49.0,3.91,101.35,0.071,8,1,12,0.814,0,0,2,0.444,28,10,0
12.0,2.07,59.49,0.103,1,6,6,0.888,0,1,3,0.214,1,6,0
9.0,1.88,66.29,0.07,2,5,8,0.694,0,1,2,0.409,6,7,0
38.0,2.21,100.4,0.155,5,3,1,0.657,0,0,3,0.0,75,5,1
